transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,year,month,month_name,day,day_name,quarter,is_weekend,age_group,month_name
1,11/24/2023,CUST001,Male,34,Beauty,3,50,150,2023,11,November,24,Friday,4,FALSE,Adult,November
2,2/27/2023,CUST002,Female,26,Clothing,2,500,1000,2023,2,February,27,Monday,1,FALSE,Adult,February
3,1/13/2023,CUST003,Male,50,Electronics,1,30,30,2023,1,January,13,Friday,1,FALSE,Middle Age,January
4,5/21/2023,CUST004,Male,37,Clothing,1,500,500,2023,5,May,21,Sunday,2,TRUE,Middle Age,May
5,5/6/2023,CUST005,Male,30,Beauty,2,50,100,2023,5,May,6,Saturday,2,TRUE,Adult,May
6,4/25/2023,CUST006,Female,45,Beauty,1,30,30,2023,4,April,25,Tuesday,2,FALSE,Middle Age,April
7,3/13/2023,CUST007,Male,46,Clothing,2,25,50,2023,3,March,13,Monday,1,FALSE,Middle Age,March
8,2/22/2023,CUST008,Male,30,Electronics,4,25,100,2023,2,February,22,Wednesday,1,FALSE,Adult,February
9,12/13/2023,CUST009,Male,63,Electronics,2,300,600,2023,12,December,13,Wednesday,4,FALSE,Senior,December
10,10/7/2023,CUST010,Female,52,Clothing,4,50,200,2023,10,October,7,Saturday,4,TRUE,Middle Age,October
11,2/14/2023,CUST011,Male,23,Clothing,2,50,100,2023,2,February,14,Tuesday,1,FALSE,Young Adult,February
12,10/30/2023,CUST012,Male,35,Beauty,3,25,75,2023,10,October,30,Monday,4,FALSE,Adult,October
13,8/5/2023,CUST013,Male,22,Electronics,3,500,1500,2023,8,August,5,Saturday,3,TRUE,Young Adult,August
14,1/17/2023,CUST014,Male,64,Clothing,4,30,120,2023,1,January,17,Tuesday,1,FALSE,Senior,January
15,1/16/2023,CUST015,Female,42,Electronics,4,500,2000,2023,1,January,16,Monday,1,FALSE,Middle Age,January
16,2/17/2023,CUST016,Male,19,Clothing,3,500,1500,2023,2,February,17,Friday,1,FALSE,Young Adult,February
17,4/22/2023,CUST017,Female,27,Clothing,4,25,100,2023,4,April,22,Saturday,2,TRUE,Adult,April
18,4/30/2023,CUST018,Female,47,Electronics,2,25,50,2023,4,April,30,Sunday,2,TRUE,Middle Age,April
19,9/16/2023,CUST019,Female,62,Clothing,2,25,50,2023,9,September,16,Saturday,3,TRUE,Senior,September
20,11/5/2023,CUST020,Male,22,Clothing,3,300,900,2023,11,November,5,Sunday,4,TRUE,Young Adult,November
21,1/14/2023,CUST021,Female,50,Beauty,1,500,500,2023,1,January,14,Saturday,1,TRUE,Middle Age,January
22,10/15/2023,CUST022,Male,18,Clothing,2,50,100,2023,10,October,15,Sunday,4,TRUE,Teen,October
23,4/12/2023,CUST023,Female,35,Clothing,4,30,120,2023,4,April,12,Wednesday,2,FALSE,Adult,April
24,11/29/2023,CUST024,Female,49,Clothing,1,300,300,2023,11,November,29,Wednesday,4,FALSE,Middle Age,November
25,12/26/2023,CUST025,Female,64,Beauty,1,50,50,2023,12,December,26,Tuesday,4,FALSE,Senior,December
26,10/7/2023,CUST026,Female,28,Electronics,2,500,1000,2023,10,October,7,Saturday,4,TRUE,Adult,October
27,8/3/2023,CUST027,Female,38,Beauty,2,25,50,2023,8,August,3,Thursday,3,FALSE,Middle Age,August
28,4/23/2023,CUST028,Female,43,Beauty,1,500,500,2023,4,April,23,Sunday,2,TRUE,Middle Age,April
29,8/18/2023,CUST029,Female,42,Electronics,1,30,30,2023,8,August,18,Friday,3,FALSE,Middle Age,August
30,10/29/2023,CUST030,Female,39,Beauty,3,300,900,2023,10,October,29,Sunday,4,TRUE,Middle Age,October
31,5/23/2023,CUST031,Male,44,Electronics,4,300,1200,2023,5,May,23,Tuesday,2,FALSE,Middle Age,May
32,1/4/2023,CUST032,Male,30,Beauty,3,30,90,2023,1,January,4,Wednesday,1,FALSE,Adult,January
33,3/23/2023,CUST033,Female,50,Electronics,2,50,100,2023,3,March,23,Thursday,1,FALSE,Middle Age,March
34,12/24/2023,CUST034,Female,51,Clothing,3,50,150,2023,12,December,24,Sunday,4,TRUE,Middle Age,December
35,8/5/2023,CUST035,Female,58,Beauty,3,300,900,2023,8,August,5,Saturday,3,TRUE,Middle Age,August
